time,temperature_2m,relative_humidity_2m,precipitation,et0_fao_evapotranspiration,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,risco_hidrico,hora,dia_do_ano
2024-06-08 00:00:00,17.5,69,0.0,0.02,20.2,0.291,0.303,0,0,160
2024-06-08 01:00:00,16.8,72,0.0,0.02,19.6,0.291,0.303,0,1,160
2024-06-08 02:00:00,16.1,74,0.0,0.01,19.1,0.291,0.303,0,2,160
2024-06-08 03:00:00,15.6,77,0.0,0.01,18.6,0.291,0.303,0,3,160
2024-06-08 04:00:00,15.1,78,0.0,0.01,18.2,0.291,0.303,0,4,160
2024-06-08 05:00:00,14.6,80,0.0,0.01,17.9,0.291,0.303,0,5,160
2024-06-08 06:00:00,14.4,80,0.0,0.01,17.5,0.291,0.303,0,6,160
2024-06-08 07:00:00,14.1,81,0.0,0.01,17.2,0.291,0.303,0,7,160
2024-06-08 08:00:00,17.0,69,0.0,0.07,17.7,0.291,0.303,0,8,160
2024-06-08 09:00:00,20.4,57,0.0,0.2,19.0,0.29,0.303,0,9,160
2024-06-08 10:00:00,22.8,51,0.0,0.33,20.9,0.294,0.306,0,10,160
2024-06-08 11:00:00,25.1,45,0.0,0.44,22.6,0.293,0.306,0,11,160
2024-06-08 12:00:00,26.7,39,0.0,0.5,24.4,0.293,0.306,0,12,160
2024-06-08 13:00:00,27.5,37,0.0,0.51,25.9,0.292,0.306,0,13,160
2024-06-08 14:00:00,27.8,35,0.0,0.47,26.9,0.291,0.305,0,14,160
2024-06-08 15:00:00,27.8,35,0.0,0.4,27.4,0.291,0.305,0,15,160
2024-06-08 16:00:00,27.2,35,0.0,0.29,27.2,0.29,0.305,0,16,160
2024-06-08 17:00:00,25.0,44,0.0,0.13,26.4,0.29,0.305,0,17,160
2024-06-08 18:00:00,22.0,46,0.0,0.05,24.8,0.29,0.305,0,18,160
2024-06-08 19:00:00,20.9,49,0.0,0.05,23.4,0.29,0.305,0,19,160
2024-06-08 20:00:00,20.0,54,0.0,0.03,22.3,0.29,0.305,0,20,160
2024-06-08 21:00:00,18.8,60,0.0,0.03,21.4,0.29,0.305,0,21,160
2024-06-08 22:00:00,18.1,64,0.0,0.03,20.9,0.291,0.306,0,22,160
2024-06-08 23:00:00,17.5,69,0.0,0.03,20.2,0.291,0.306,0,23,160
2024-06-09 00:00:00,17.1,71,0.0,0.03,19.8,0.291,0.306,0,0,161
2024-06-09 01:00:00,16.9,70,0.0,0.02,19.3,0.291,0.306,0,1,161
2024-06-09 02:00:00,16.5,70,0.0,0.02,18.9,0.291,0.306,0,2,161
2024-06-09 03:00:00,16.2,72,0.0,0.02,18.5,0.291,0.306,0,3,161
2024-06-09 04:00:00,15.8,74,0.0,0.01,18.1,0.291,0.306,0,4,161
2024-06-09 05:00:00,15.4,76,0.0,0.01,17.9,0.291,0.306,0,5,161
2024-06-09 06:00:00,15.1,78,0.0,0.01,17.5,0.291,0.306,0,6,161
2024-06-09 07:00:00,14.8,79,0.0,0.01,17.2,0.291,0.306,0,7,161
2024-06-09 08:00:00,17.4,69,0.0,0.07,17.8,0.291,0.306,0,8,161
2024-06-09 09:00:00,20.2,60,0.0,0.19,19.1,0.291,0.306,0,9,161
2024-06-09 10:00:00,22.9,56,0.0,0.32,20.9,0.293,0.308,0,10,161
2024-06-09 11:00:00,25.0,50,0.0,0.42,22.8,0.293,0.308,0,11,161
2024-06-09 12:00:00,26.7,41,0.0,0.49,24.5,0.292,0.308,0,12,161
2024-06-09 13:00:00,27.6,36,0.0,0.51,26.0,0.291,0.307,0,13,161
2024-06-09 14:00:00,28.0,35,0.0,0.47,27.0,0.291,0.307,0,14,161
2024-06-09 15:00:00,28.0,35,0.0,0.38,27.5,0.29,0.307,0,15,161
2024-06-09 16:00:00,27.7,36,0.0,0.25,27.4,0.29,0.306,0,16,161
2024-06-09 17:00:00,27.0,36,0.0,0.1,26.6,0.289,0.306,0,17,161
2024-06-09 18:00:00,25.4,41,0.0,0.02,25.0,0.289,0.306,0,18,161
2024-06-09 19:00:00,21.2,58,0.0,0.03,23.5,0.289,0.306,0,19,161
2024-06-09 20:00:00,19.1,64,0.0,0.02,22.3,0.289,0.306,0,20,161
2024-06-09 21:00:00,17.8,70,0.0,0.02,21.2,0.289,0.306,0,21,161
2024-06-09 22:00:00,18.0,65,0.0,0.02,20.6,0.288,0.305,0,22,161
2024-06-09 23:00:00,18.0,66,0.0,0.02,20.0,0.288,0.305,0,23,161
2024-06-10 00:00:00,17.5,69,0.0,0.02,19.5,0.288,0.305,0,0,162
2024-06-10 01:00:00,17.0,72,0.0,0.01,19.1,0.287,0.305,0,1,162
2024-06-10 02:00:00,16.4,75,0.0,0.0,18.7,0.287,0.305,0,2,162
2024-06-10 03:00:00,15.9,77,0.0,0.0,18.2,0.287,0.305,0,3,162
2024-06-10 04:00:00,15.8,77,0.0,0.0,17.9,0.287,0.305,0,4,162
2024-06-10 05:00:00,15.4,79,0.0,0.0,17.6,0.287,0.305,0,5,162
2024-06-10 06:00:00,14.3,84,0.0,0.0,17.2,0.287,0.305,0,6,162
2024-06-10 07:00:00,13.9,85,0.0,0.0,16.8,0.287,0.305,0,7,162
2024-06-10 08:00:00,17.0,71,0.0,0.06,17.4,0.287,0.305,0,8,162
2024-06-10 09:00:00,20.2,58,0.0,0.18,18.8,0.287,0.305,0,9,162
2024-06-10 10:00:00,23.0,52,0.0,0.31,20.5,0.289,0.305,0,10,162
2024-06-10 11:00:00,25.3,44,0.0,0.43,22.6,0.289,0.305,0,11,162
2024-06-10 12:00:00,26.7,37,0.0,0.5,24.5,0.288,0.304,0,12,162
2024-06-10 13:00:00,27.5,34,0.0,0.52,25.9,0.288,0.304,0,13,162
2024-06-10 14:00:00,27.8,33,0.0,0.49,26.9,0.287,0.304,0,14,162
2024-06-10 15:00:00,27.8,33,0.0,0.4,27.2,0.287,0.303,0,15,162
2024-06-10 16:00:00,27.2,35,0.0,0.27,27.1,0.286,0.303,0,16,162
2024-06-10 17:00:00,24.6,59,0.0,0.12,26.3,0.286,0.303,0,17,162
2024-06-10 18:00:00,21.8,52,0.0,0.05,24.6,0.286,0.303,0,18,162
2024-06-10 19:00:00,20.2,57,0.0,0.03,23.1,0.286,0.303,0,19,162
2024-06-10 20:00:00,19.6,57,0.0,0.02,22.0,0.286,0.303,0,20,162
2024-06-10 21:00:00,18.8,61,0.0,0.02,21.1,0.286,0.303,0,21,162
2024-06-10 22:00:00,17.4,65,0.0,0.02,20.5,0.287,0.303,0,22,162
2024-06-10 23:00:00,16.7,69,0.0,0.01,19.7,0.287,0.303,0,23,162
2024-06-11 00:00:00,16.7,70,0.0,0.02,19.2,0.287,0.303,0,0,163
2024-06-11 01:00:00,16.4,76,0.0,0.01,18.8,0.287,0.303,0,1,163
2024-06-11 02:00:00,16.1,81,0.0,0.01,18.5,0.287,0.303,0,2,163
2024-06-11 03:00:00,15.4,86,0.0,0.0,18.1,0.287,0.303,0,3,163
2024-06-11 04:00:00,14.6,90,0.0,0.0,17.7,0.287,0.303,0,4,163
2024-06-11 05:00:00,14.0,92,0.0,0.0,17.4,0.287,0.303,0,5,163
2024-06-11 06:00:00,13.8,91,0.0,0.0,17.0,0.287,0.303,0,6,163
2024-06-11 07:00:00,13.9,88,0.0,0.0,16.7,0.287,0.303,0,7,163
2024-06-11 08:00:00,17.0,73,0.0,0.06,17.2,0.287,0.303,0,8,163
2024-06-11 09:00:00,20.5,60,0.0,0.19,18.7,0.287,0.303,0,9,163
2024-06-11 10:00:00,23.1,53,0.0,0.32,20.6,0.292,0.306,0,10,163
2024-06-11 11:00:00,25.7,44,0.0,0.43,22.6,0.291,0.306,0,11,163
2024-06-11 12:00:00,27.1,37,0.0,0.49,24.5,0.29,0.306,0,12,163
2024-06-11 13:00:00,27.9,35,0.0,0.5,26.1,0.29,0.305,0,13,163
2024-06-11 14:00:00,28.2,34,0.0,0.47,27.2,0.289,0.305,0,14,163
2024-06-11 15:00:00,28.3,33,0.0,0.38,27.6,0.288,0.305,0,15,163
2024-06-11 16:00:00,27.9,33,0.0,0.27,27.5,0.288,0.305,0,16,163
2024-06-11 17:00:00,25.3,46,0.0,0.13,26.6,0.288,0.304,0,17,163
2024-06-11 18:00:00,22.9,42,0.0,0.07,25.0,0.288,0.304,0,18,163
2024-06-11 19:00:00,22.1,46,0.0,0.08,23.8,0.288,0.304,0,19,163
2024-06-11 20:00:00,21.0,51,0.0,0.06,22.8,0.287,0.304,0,20,163
2024-06-11 21:00:00,20.5,49,0.0,0.07,22.0,0.287,0.304,0,21,163
2024-06-11 22:00:00,20.0,50,0.0,0.07,21.9,0.287,0.305,0,22,163
2024-06-11 23:00:00,18.6,56,0.0,0.05,21.1,0.287,0.305,0,23,163
2024-06-12 00:00:00,17.6,60,0.0,0.04,20.4,0.287,0.305,0,0,164
2024-06-12 01:00:00,17.0,61,0.0,0.04,19.8,0.287,0.305,0,1,164
2024-06-12 02:00:00,16.4,63,0.0,0.03,19.2,0.287,0.305,0,2,164
2024-06-12 03:00:00,15.8,65,0.0,0.03,18.8,0.287,0.305,0,3,164
2024-06-12 04:00:00,15.4,66,0.0,0.03,18.4,0.287,0.305,0,4,164
2024-06-12 05:00:00,15.3,66,0.0,0.03,18.0,0.287,0.305,0,5,164
2024-06-12 06:00:00,15.1,68,0.0,0.03,17.8,0.287,0.305,0,6,164
2024-06-12 07:00:00,14.9,70,0.0,0.04,17.5,0.287,0.305,0,7,164
2024-06-12 08:00:00,17.5,62,0.0,0.09,17.9,0.286,0.305,0,8,164
2024-06-12 09:00:00,20.6,52,0.0,0.22,19.2,0.286,0.304,0,9,164
2024-06-12 10:00:00,23.0,47,0.0,0.34,21.0,0.289,0.307,0,10,164
2024-06-12 11:00:00,25.5,41,0.0,0.46,22.8,0.288,0.307,0,11,164
2024-06-12 12:00:00,27.2,29,0.0,0.54,24.5,0.288,0.306,0,12,164
2024-06-12 13:00:00,28.0,26,0.0,0.55,25.9,0.287,0.306,0,13,164
2024-06-12 14:00:00,28.1,25,0.0,0.51,26.9,0.287,0.306,0,14,164
2024-06-12 15:00:00,28.0,25,0.0,0.42,27.3,0.286,0.305,0,15,164
2024-06-12 16:00:00,27.4,28,0.0,0.29,27.1,0.286,0.305,0,16,164
2024-06-12 17:00:00,24.5,44,0.0,0.13,26.2,0.285,0.305,0,17,164
2024-06-12 18:00:00,21.9,42,0.0,0.06,24.5,0.285,0.305,0,18,164
2024-06-12 19:00:00,21.2,41,0.0,0.09,23.4,0.285,0.305,0,19,164
2024-06-12 20:00:00,20.4,45,0.0,0.07,22.4,0.285,0.305,0,20,164
2024-06-12 21:00:00,18.9,53,0.0,0.05,21.5,0.285,0.305,0,21,164
2024-06-12 22:00:00,18.3,54,0.0,0.05,20.7,0.289,0.307,0,22,164
